#           k/h    P           
    0.30866E+02    0.11743E-01
    0.31490E+02    0.11127E-01
    0.32126E+02    0.10542E-01
    0.32775E+02    0.99885E-02
    0.33437E+02    0.94636E-02
    0.34112E+02    0.89660E-02
    0.34801E+02    0.84943E-02
    0.35504E+02    0.80473E-02
    0.36222E+02    0.76236E-02
    0.36953E+02    0.72220E-02
    0.37700E+02    0.68414E-02
    0.38462E+02    0.64808E-02
    0.39239E+02    0.61389E-02
    0.40031E+02    0.58150E-02
    0.40840E+02    0.55080E-02
    0.41665E+02    0.52171E-02
    0.42507E+02    0.49414E-02
    0.43365E+02    0.46802E-02
    0.44241E+02    0.44327E-02
    0.45135E+02    0.41982E-02
    0.46047E+02    0.39760E-02
    0.46977E+02    0.37654E-02
    0.47926E+02    0.35659E-02
    0.48894E+02    0.33769E-02
    0.49882E+02    0.31978E-02
    0.50890E+02    0.30282E-02
    0.51918E+02    0.28675E-02
    0.52966E+02    0.27152E-02
    0.54036E+02    0.25709E-02
    0.55128E+02    0.24343E-02
    0.56242E+02    0.23049E-02
    0.57378E+02    0.21822E-02
    0.58537E+02    0.20661E-02
    0.59720E+02    0.19561E-02
    0.60926E+02    0.18519E-02
    0.62157E+02    0.17532E-02
    0.63412E+02    0.16597E-02
    0.64693E+02    0.15711E-02
    0.66000E+02    0.14873E-02
    0.67334E+02    0.14078E-02
    0.68694E+02    0.13326E-02
    0.70082E+02    0.12614E-02
    0.71497E+02    0.11939E-02
    0.72942E+02    0.11300E-02
    0.74415E+02    0.10695E-02
    0.75918E+02    0.10122E-02
    0.77452E+02    0.95797E-03
    0.79017E+02    0.90660E-03
    0.80613E+02    0.85795E-03
    0.82241E+02    0.81189E-03
    0.83903E+02    0.76828E-03
    0.85598E+02    0.72698E-03
    0.87327E+02    0.68789E-03
    0.89091E+02    0.65087E-03
    0.90891E+02    0.61582E-03
    0.92727E+02    0.58265E-03
    0.94600E+02    0.55124E-03
    0.96511E+02    0.52150E-03
    0.98461E+02    0.49335E-03
    0.10045E+03    0.46670E-03
    0.10248E+03    0.44148E-03
    0.10455E+03    0.41760E-03
    0.10666E+03    0.39499E-03
    0.10882E+03    0.37360E-03
    0.11101E+03    0.35335E-03
    0.11326E+03    0.33418E-03
    0.11554E+03    0.31604E-03
    0.11788E+03    0.29887E-03
    0.12026E+03    0.28262E-03
    0.12269E+03    0.26724E-03
    0.12517E+03    0.25269E-03
    0.12770E+03    0.23892E-03
    0.13028E+03    0.22589E-03
    0.13291E+03    0.21355E-03
    0.13559E+03    0.20188E-03
    0.13833E+03    0.19084E-03
    0.14113E+03    0.18039E-03
    0.14398E+03    0.17051E-03
    0.14689E+03    0.16115E-03
    0.14985E+03    0.15231E-03
    0.15288E+03    0.14393E-03
    0.15597E+03    0.13601E-03
    0.15912E+03    0.12852E-03
    0.16233E+03    0.12143E-03
